Path from 0 to 1: No path, Cost: inf
Path from 0 to 2: 0-2, Cost: 267
Path from 0 to 3: No path, Cost: inf
Path from 0 to 4: No path, Cost: inf
Path from 0 to 5: No path, Cost: inf
Path from 0 to 6: 0-2-6, Cost: 523
Path from 0 to 7: 0-2-6-7, Cost: 632
Path from 0 to 8: No path, Cost: inf
Path from 0 to 9: No path, Cost: inf
Path from 0 to 10: 0-10, Cost: 292
Path from 0 to 11: No path, Cost: inf
Path from 0 to 12: 0-2-6-12, Cost: 881
Path from 0 to 13: 0-2-6-7-13, Cost: 1097
Path from 0 to 14: 0-14, Cost: 162
Path from 0 to 15: No path, Cost: inf
Path from 0 to 16: 0-10-16, Cost: 577
Path from 0 to 17: 0-17, Cost: 311
Path from 0 to 18: 0-14-18, Cost: 613
Path from 0 to 19: No path, Cost: inf
Path from 0 to 20: 0-2-20, Cost: 718
Path from 0 to 21: 0-2-21, Cost: 682
Path from 0 to 22: 0-2-6-12-22, Cost: 1323
Path from 0 to 23: 0-23, Cost: 281
Path from 0 to 24: 0-17-24, Cost: 703
Path from 1 to 0: No path, Cost: inf
Path from 1 to 2: No path, Cost: inf
Path from 1 to 3: No path, Cost: inf
Path from 1 to 4: No path, Cost: inf
Path from 1 to 5: No path, Cost: inf
Path from 1 to 6: No path, Cost: inf
Path from 1 to 7: No path, Cost: inf
Path from 1 to 8: No path, Cost: inf
Path from 1 to 9: No path, Cost: inf
Path from 1 to 10: No path, Cost: inf
Path from 1 to 11: 1-11, Cost: 331
Path from 1 to 12: No path, Cost: inf
Path from 1 to 13: 1-11-13, Cost: 702
Path from 1 to 14: No path, Cost: inf
Path from 1 to 15: No path, Cost: inf
Path from 1 to 16: No path, Cost: inf
Path from 1 to 17: No path, Cost: inf
Path from 1 to 18: No path, Cost: inf
Path from 1 to 19: 1-19, Cost: 307
Path from 1 to 20: No path, Cost: inf
Path from 1 to 21: 1-11-13-21, Cost: 872
Path from 1 to 22: 1-22, Cost: 395
Path from 1 to 23: No path, Cost: inf
Path from 1 to 24: No path, Cost: inf
Path from 2 to 0: No path, Cost: inf
Path from 2 to 1: No path, Cost: inf
Path from 2 to 3: No path, Cost: inf
Path from 2 to 4: No path, Cost: inf
Path from 2 to 5: No path, Cost: inf
Path from 2 to 6: 2-6, Cost: 256
Path from 2 to 7: 2-6-7, Cost: 365
Path from 2 to 8: No path, Cost: inf
Path from 2 to 9: No path, Cost: inf
Path from 2 to 10: 2-10, Cost: 319
Path from 2 to 11: No path, Cost: inf
Path from 2 to 12: 2-6-12, Cost: 614
Path from 2 to 13: 2-6-7-13, Cost: 830
Path from 2 to 14: 2-14, Cost: 111
Path from 2 to 15: No path, Cost: inf
Path from 2 to 16: 2-16, Cost: 316
Path from 2 to 17: 2-16-17, Cost: 603
Path from 2 to 18: 2-18, Cost: 405
Path from 2 to 19: No path, Cost: inf
Path from 2 to 20: 2-20, Cost: 451
Path from 2 to 21: 2-21, Cost: 415
Path from 2 to 22: 2-6-12-22, Cost: 1056
Path from 2 to 23: 2-14-23, Cost: 429
Path from 2 to 24: 2-24, Cost: 488
Path from 3 to 0: No path, Cost: inf
Path from 3 to 1: No path, Cost: inf
Path from 3 to 2: No path, Cost: inf
Path from 3 to 4: No path, Cost: inf
Path from 3 to 5: No path, Cost: inf
Path from 3 to 6: No path, Cost: inf
Path from 3 to 7: No path, Cost: inf
Path from 3 to 8: 3-8, Cost: 249
Path from 3 to 9: 3-8-9, Cost: 355
Path from 3 to 10: No path, Cost: inf
Path from 3 to 11: No path, Cost: inf
Path from 3 to 12: 3-12, Cost: 438
Path from 3 to 13: 3-12-13, Cost: 681
Path from 3 to 14: No path, Cost: inf
Path from 3 to 15: 3-15, Cost: 84
Path from 3 to 16: No path, Cost: inf
Path from 3 to 17: No path, Cost: inf
Path from 3 to 18: 3-12-18, Cost: 802
Path from 3 to 19: No path, Cost: inf
Path from 3 to 20: No path, Cost: inf
